arm,stt,category,n_gold,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@30,recall@30,precision@30,f1@30,ndcg@30,n_retrieved@50,recall@50,precision@50,f1@50,ndcg@50,n_retrieved@70,recall@70,precision@70,f1@70,ndcg@70,n_retrieved@100,recall@100,precision@100,f1@100,ndcg@100,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_hyde,79,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,1.0,0.02,0.0392156862745098,0.1781035935540111,54,1.0,0.018518518518518517,0.03636363636363636,0.1781035935540111,54,1.0,0.018518518518518517,0.03636363636363636,0.1781035935540111,54,1.0,0.018518518518518517,0.03636363636363636,0.1781035935540111,0.0,0.020833333333333332,0.104
dense_hyde,8,unparseable,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.326
dense_hyde,80,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.123
dense_hyde,81,in_corpus,4,12,0.5,0.16666666666666666,0.25,0.3853585682515056,20,0.75,0.15,0.24999999999999997,0.4772575116201601,30,0.75,0.1,0.17647058823529416,0.4772575116201601,50,0.75,0.06,0.1111111111111111,0.4772575116201601,57,0.75,0.05263157894736842,0.09836065573770492,0.4772575116201601,57,0.75,0.05263157894736842,0.09836065573770492,0.4772575116201601,57,0.75,0.05263157894736842,0.09836065573770492,0.4772575116201601,0.25,0.5,0.139
dense_hyde,82,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.5,0.05,0.09090909090909091,0.14704034066641014,30,0.5,0.03333333333333333,0.0625,0.14704034066641014,50,0.5,0.02,0.038461538461538464,0.14704034066641014,54,1.0,0.037037037037037035,0.07142857142857142,0.2546017259423876,54,1.0,0.037037037037037035,0.07142857142857142,0.2546017259423876,54,1.0,0.037037037037037035,0.07142857142857142,0.2546017259423876,0.0,0.058823529411764705,0.13
dense_hyde,83,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.43067655807339306,20,1.0,0.05,0.09523809523809523,0.43067655807339306,30,1.0,0.03333333333333333,0.06451612903225806,0.43067655807339306,48,1.0,0.020833333333333332,0.04081632653061225,0.43067655807339306,48,1.0,0.020833333333333332,0.04081632653061225,0.43067655807339306,48,1.0,0.020833333333333332,0.04081632653061225,0.43067655807339306,48,1.0,0.020833333333333332,0.04081632653061225,0.43067655807339306,0.0,0.25,0.184
dense_hyde,84,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.376
dense_hyde,85,unparseable,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.308
dense_hyde,86,in_corpus,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.073
dense_hyde,87,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.6309297535714575,20,1.0,0.05,0.09523809523809523,0.6309297535714575,30,1.0,0.03333333333333333,0.06451612903225806,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,37,1.0,0.02702702702702703,0.052631578947368425,0.6309297535714575,0.0,0.5,0.14
dense_hyde,88,in_corpus,3,12,0.0,0.0,0.0,0.0,20,0.3333333333333333,0.05,0.08695652173913045,0.11480929472601784,30,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.11480929472601784,50,0.3333333333333333,0.02,0.03773584905660377,0.11480929472601784,62,0.3333333333333333,0.016129032258064516,0.03076923076923077,0.11480929472601784,62,0.3333333333333333,0.016129032258064516,0.03076923076923077,0.11480929472601784,62,0.3333333333333333,0.016129032258064516,0.03076923076923077,0.11480929472601784,0.0,0.0625,0.112
dense_hyde,89,in_corpus,2,12,0.5,0.08333333333333333,0.14285714285714285,0.21840743681816419,20,0.5,0.05,0.09090909090909091,0.21840743681816419,30,0.5,0.03333333333333333,0.0625,0.21840743681816419,44,0.5,0.022727272727272728,0.04347826086956522,0.21840743681816419,44,0.5,0.022727272727272728,0.04347826086956522,0.21840743681816419,44,0.5,0.022727272727272728,0.04347826086956522,0.21840743681816419,44,0.5,0.022727272727272728,0.04347826086956522,0.21840743681816419,0.0,0.16666666666666666,0.217
dense_hyde,9,in_corpus,4,12,0.5,0.16666666666666666,0.25,0.3973220069685352,20,0.5,0.1,0.16666666666666669,0.3973220069685352,30,0.75,0.1,0.17647058823529416,0.4813857751040939,37,0.75,0.08108108108108109,0.14634146341463414,0.4813857751040939,37,0.75,0.08108108108108109,0.14634146341463414,0.4813857751040939,37,0.75,0.08108108108108109,0.14634146341463414,0.4813857751040939,37,0.75,0.08108108108108109,0.14634146341463414,0.4813857751040939,0.25,0.5,0.184
