arm,stt,stratum,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,ndcg@5,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
cypher_walk_hyde,47,mixed_l41_other,3,5,0.3333333333333333,0.2,0.25,0.23463936301137822,7,0.3333333333333333,0.14285714285714285,0.2,0.23463936301137822,7,0.3333333333333333,0.14285714285714285,0.2,0.23463936301137822,7,0.3333333333333333,0.14285714285714285,0.2,0.23463936301137822,0.3333333333333333,0.3333333333333333,10.262
cypher_walk_hyde,48,no_l41,1,5,1.0,0.2,0.33333333333333337,0.5,10,1.0,0.1,0.18181818181818182,0.5,10,1.0,0.1,0.18181818181818182,0.5,10,1.0,0.1,0.18181818181818182,0.5,0.0,0.3333333333333333,3.049
cypher_walk_hyde,58,l41_only,3,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,7.553
cypher_walk_hyde,59,l41_only,1,5,1.0,0.2,0.33333333333333337,0.38685280723454163,7,1.0,0.14285714285714285,0.25,0.38685280723454163,7,1.0,0.14285714285714285,0.25,0.38685280723454163,7,1.0,0.14285714285714285,0.25,0.38685280723454163,0.0,0.2,2.675
cypher_walk_hyde,6,no_l41,1,5,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,3.119
cypher_walk_hyde,61,no_l41,2,5,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,3.459
cypher_walk_hyde,74,l41_only,2,5,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,2.883
cypher_walk_hyde,75,no_l41,2,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,2.726
cypher_walk_hyde,81,l41_only,4,5,0.25,0.2,0.22222222222222224,0.19519002499605084,7,0.25,0.14285714285714285,0.18181818181818182,0.19519002499605084,7,0.25,0.14285714285714285,0.18181818181818182,0.19519002499605084,7,0.25,0.14285714285714285,0.18181818181818182,0.19519002499605084,0.25,0.3333333333333333,5.666
cypher_walk_hyde,82,l41_only,2,5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,9.485
cypher_walk_hyde,87,l41_only,1,5,1.0,0.2,0.33333333333333337,0.38685280723454163,7,1.0,0.14285714285714285,0.25,0.38685280723454163,7,1.0,0.14285714285714285,0.25,0.38685280723454163,7,1.0,0.14285714285714285,0.25,0.38685280723454163,0.0,0.2,2.806
cypher_walk_hyde,90,l41_only,3,5,0.3333333333333333,0.2,0.25,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,7,0.3333333333333333,0.14285714285714285,0.2,0.18154179253735267,0.0,0.2,7.491
cypher_walk_hyde,91,l41_only,2,5,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,2.673
cypher_walk_hyde,98,no_l41,2,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,7.189
