arm,stt,stratum,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,ndcg@5,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_vanilla,167,l41_only,1,5,1.0,0.2,0.33333333333333337,1.0,9,1.0,0.1111111111111111,0.19999999999999998,1.0,9,1.0,0.1111111111111111,0.19999999999999998,1.0,9,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,1.0,0.126
dense_vanilla,174,mixed_l41_other,6,5,0.16666666666666666,0.2,0.1818181818181818,0.16958010263680806,7,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.15130120674940672,7,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.15130120674940672,7,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.15130120674940672,0.16666666666666666,0.3333333333333333,0.246
dense_vanilla,181,l41_only,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.195
dense_vanilla,183,mixed_l41_other,5,5,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.212
dense_vanilla,185,l41_only,1,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.229
dense_vanilla,186,mixed_l41_other,2,5,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.25
dense_vanilla,196,l41_only,1,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.267
dense_vanilla,199,mixed_l41_other,2,5,0.5,0.2,0.28571428571428575,0.3065735963827292,8,0.5,0.125,0.2,0.3065735963827292,8,0.5,0.125,0.2,0.3065735963827292,8,0.5,0.125,0.2,0.3065735963827292,0.0,0.3333333333333333,0.239
dense_vanilla,20,no_l41,2,5,0.5,0.2,0.28571428571428575,0.2640681225725909,8,0.5,0.125,0.2,0.2640681225725909,8,0.5,0.125,0.2,0.2640681225725909,8,0.5,0.125,0.2,0.2640681225725909,0.0,0.25,0.253
dense_vanilla,201,no_l41,1,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.118
dense_vanilla,30,l41_only,1,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.284
dense_vanilla,38,l41_only,1,5,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.237
dense_vanilla,4,no_l41,2,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.577
dense_vanilla,44,l41_only,3,5,0.0,0.0,0.0,0.0,10,0.3333333333333333,0.1,0.15384615384615383,0.13565197343244778,10,0.3333333333333333,0.1,0.15384615384615383,0.13565197343244778,10,0.3333333333333333,0.1,0.15384615384615383,0.13565197343244778,0.0,0.1,0.283
dense_vanilla,47,mixed_l41_other,3,5,0.3333333333333333,0.2,0.25,0.18154179253735267,9,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.18154179253735267,9,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.18154179253735267,9,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.18154179253735267,0.0,0.2,0.284
dense_vanilla,48,no_l41,1,5,1.0,0.2,0.33333333333333337,0.6309297535714575,10,1.0,0.1,0.18181818181818182,0.6309297535714575,10,1.0,0.1,0.18181818181818182,0.6309297535714575,10,1.0,0.1,0.18181818181818182,0.6309297535714575,0.0,0.5,0.247
dense_vanilla,58,l41_only,3,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.152
dense_vanilla,59,l41_only,1,5,1.0,0.2,0.33333333333333337,0.5,8,1.0,0.125,0.2222222222222222,0.5,8,1.0,0.125,0.2222222222222222,0.5,8,1.0,0.125,0.2222222222222222,0.5,0.0,0.3333333333333333,0.39
dense_vanilla,6,no_l41,1,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.247
dense_vanilla,61,no_l41,2,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.33
dense_vanilla,74,l41_only,2,5,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.257
dense_vanilla,75,no_l41,2,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.166
