arm,stt,category,n_gold,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@30,recall@30,precision@30,f1@30,ndcg@30,n_retrieved@50,recall@50,precision@50,f1@50,ndcg@50,n_retrieved@70,recall@70,precision@70,f1@70,ndcg@70,n_retrieved@100,recall@100,precision@100,f1@100,ndcg@100,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense,188,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.6309297535714575,20,1.0,0.05,0.09523809523809523,0.6309297535714575,30,1.0,0.03333333333333333,0.06451612903225806,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,48,1.0,0.020833333333333332,0.04081632653061225,0.6309297535714575,0.0,0.5,0.048
dense,189,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.041
dense,19,unparseable,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.063
dense,190,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.048
dense,191,in_corpus,1,12,0.0,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,0.26264953503719357,30,1.0,0.03333333333333333,0.06451612903225806,0.26264953503719357,49,1.0,0.02040816326530612,0.039999999999999994,0.26264953503719357,49,1.0,0.02040816326530612,0.039999999999999994,0.26264953503719357,49,1.0,0.02040816326530612,0.039999999999999994,0.26264953503719357,49,1.0,0.02040816326530612,0.039999999999999994,0.26264953503719357,0.0,0.07692307692307693,0.048
dense,192,in_corpus,3,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.46927872602275644,20,0.3333333333333333,0.05,0.08695652173913045,0.46927872602275644,30,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.46927872602275644,50,0.3333333333333333,0.02,0.03773584905660377,0.46927872602275644,57,0.3333333333333333,0.017543859649122806,0.03333333333333333,0.46927872602275644,57,0.3333333333333333,0.017543859649122806,0.03333333333333333,0.46927872602275644,57,0.3333333333333333,0.017543859649122806,0.03333333333333333,0.46927872602275644,0.3333333333333333,1.0,0.055
dense,193,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.049
dense,194,unparseable,4,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.048
dense,195,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.049
dense,196,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.085
dense,197,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.5,0.05,0.09090909090909091,0.14434031438272124,30,0.5,0.03333333333333333,0.0625,0.14434031438272124,50,1.0,0.04,0.07692307692307693,0.25298007630229846,51,1.0,0.0392156862745098,0.07547169811320754,0.25298007630229846,51,1.0,0.0392156862745098,0.07547169811320754,0.25298007630229846,51,1.0,0.0392156862745098,0.07547169811320754,0.25298007630229846,0.0,0.05555555555555555,0.056
dense,198,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.5,20,1.0,0.05,0.09523809523809523,0.5,30,1.0,0.03333333333333333,0.06451612903225806,0.5,50,1.0,0.02,0.0392156862745098,0.5,57,1.0,0.017543859649122806,0.034482758620689655,0.5,57,1.0,0.017543859649122806,0.034482758620689655,0.5,57,1.0,0.017543859649122806,0.034482758620689655,0.5,0.0,0.3333333333333333,0.049
dense,199,in_corpus,2,12,0.5,0.08333333333333333,0.14285714285714285,0.6131471927654584,20,0.5,0.05,0.09090909090909091,0.6131471927654584,30,0.5,0.03333333333333333,0.0625,0.6131471927654584,50,0.5,0.02,0.038461538461538464,0.6131471927654584,55,0.5,0.01818181818181818,0.03508771929824561,0.6131471927654584,55,0.5,0.01818181818181818,0.03508771929824561,0.6131471927654584,55,0.5,0.01818181818181818,0.03508771929824561,0.6131471927654584,0.5,1.0,0.042
dense,2,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.6309297535714575,20,1.0,0.05,0.09523809523809523,0.6309297535714575,30,1.0,0.03333333333333333,0.06451612903225806,0.6309297535714575,47,1.0,0.02127659574468085,0.04166666666666667,0.6309297535714575,47,1.0,0.02127659574468085,0.04166666666666667,0.6309297535714575,47,1.0,0.02127659574468085,0.04166666666666667,0.6309297535714575,47,1.0,0.02127659574468085,0.04166666666666667,0.6309297535714575,0.0,0.5,0.138
