arm,stt,citation_recall,citation_precision,citation_f1,citation_display_rate,bertscore_p,bertscore_r,bertscore_f1,latency_s,prolog_first_try_solution,repair_invoked,repair_success,pred_citation_parse_errors,record_path
graphrag_v5,10,1.0,0.5,0.6667,1.0,0.7643,0.7222,0.7427,39.732,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A10.json
graphrag_v5,11,0.5,1.0,0.6667,1.0,0.6326,0.5131,0.5666,18.997,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A11.json
graphrag_v5,12,0.0,0.0,0.0,,0.688,0.6108,0.6471,37.553,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A12.json
graphrag_v5,13,0.3333,0.5,0.4,1.0,0.6587,0.5405,0.5938,28.541,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A13.json
graphrag_v5,14,0.0,0.0,0.0,1.0,0.6456,0.5202,0.5761,26.155,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A14.json
graphrag_v5,15,0.0,0.0,0.0,1.0,0.737,0.6544,0.6932,29.077,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A15.json
graphrag_v5,16,0.0,0.0,0.0,1.0,0.6932,0.605,0.6461,48.008,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A16.json
graphrag_v5,17,0.0,0.0,0.0,1.0,0.6559,0.5569,0.6024,45.548,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A17.json
graphrag_v5,18,0.25,0.4,0.3077,1.0,0.6279,0.5277,0.5735,138.162,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A18.json
graphrag_v5,19,0.0,0.0,0.0,1.0,0.6399,0.5348,0.5826,36.218,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A19.json
graphrag_v5,2,0.0,0.0,0.0,1.0,0.6622,0.6412,0.6515,72.445,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A2.json
graphrag_v5,20,0.0,0.0,0.0,1.0,0.72,0.6947,0.7071,36.944,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A20.json
graphrag_v5,21,1.0,0.3333,0.5,1.0,0.6542,0.6212,0.6373,25.719,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A21.json
graphrag_v5,22,0.0,0.0,0.0,,0.6698,0.6049,0.6357,46.049,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A22.json
graphrag_v5,23,0.0,0.0,0.0,1.0,0.727,0.687,0.7065,40.644,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A23.json
graphrag_v5,24,0.0,0.0,0.0,,0.6776,0.5582,0.6121,0.495,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A24.json
graphrag_v5,25,1.0,0.5,0.6667,1.0,0.7225,0.661,0.6904,29.685,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A25.json
graphrag_v5,26,0.0,0.0,0.0,1.0,0.6665,0.5636,0.6107,29.747,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A26.json
graphrag_v5,27,1.0,1.0,1.0,1.0,0.6289,0.5447,0.5838,24.601,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A27.json
graphrag_v5,28,0.0,0.0,0.0,1.0,0.7337,0.6688,0.6998,44.083,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A28.json
graphrag_v5,29,0.5,0.5,0.5,1.0,0.7202,0.6655,0.6918,37.098,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A29.json
graphrag_v5,3,0.0,0.0,0.0,,0.6834,0.6132,0.6464,45.366,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A3.json
graphrag_v5,30,0.0,0.0,0.0,1.0,0.6448,0.579,0.6101,56.837,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A30.json
graphrag_v5,4,0.0,0.0,0.0,1.0,0.6963,0.6501,0.6724,79.529,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A4.json
graphrag_v5,5,0.0,0.0,0.0,1.0,0.6516,0.5434,0.5926,34.066,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A5.json
graphrag_v5,6,0.0,0.0,0.0,1.0,0.6552,0.5786,0.6145,33.097,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A6.json
graphrag_v5,7,1.0,1.0,1.0,1.0,0.6561,0.5586,0.6035,22.937,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A7.json
graphrag_v5,8,0.0,0.0,0.0,1.0,0.6473,0.5314,0.5837,35.449,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A8.json
graphrag_v5,9,0.5,0.6667,0.5714,1.0,0.6282,0.5473,0.5849,25.407,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A9.json
graphrag,1,0.0,0.0,0.0,0.0,0.7488,0.6812,0.7134,9.22,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A1.json
graphrag,10,0.0,0.0,0.0,0.0,0.7603,0.6941,0.7257,6.19,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A10.json
graphrag,100,0.0,0.0,0.0,0.0,0.6809,0.6721,0.6765,4.14,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A100.json
graphrag,101,0.0,0.0,0.0,0.0,0.694,0.6859,0.6899,3.21,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A101.json
graphrag,102,0.0,0.0,0.0,,0.666,0.6816,0.6737,4.09,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A102.json
graphrag,103,0.0,0.0,0.0,,0.6437,0.6278,0.6356,4.98,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A103.json
graphrag,104,0.0,0.0,0.0,0.0,0.6596,0.6586,0.6591,3.1,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A104.json
graphrag,105,0.0,0.0,0.0,0.0,0.6515,0.6463,0.6489,3.53,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A105.json
graphrag,106,0.0,0.0,0.0,,0.6136,0.6363,0.6248,2.42,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A106.json
graphrag,107,0.0,0.0,0.0,0.0,0.6705,0.6643,0.6674,3.53,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A107.json
graphrag,108,0.0,0.0,0.0,0.0,0.6495,0.6267,0.6379,2.5,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A108.json
graphrag,109,0.0,0.0,0.0,0.0,0.7077,0.7144,0.711,6.22,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A109.json
graphrag,11,0.0,0.0,0.0,0.0,0.7659,0.6486,0.7024,4.18,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A11.json
graphrag,110,0.0,0.0,0.0,0.0,0.6519,0.6042,0.6271,2.42,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A110.json
graphrag,111,0.0,0.0,0.0,,0.6785,0.6758,0.6772,2.77,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A111.json
graphrag,112,0.0,0.0,0.0,0.0,0.6768,0.662,0.6694,2.6,,,,,E:\legal-graph-kb\experiments\01_initial_eval\results\graphrag\A112.json
