arm,stt,category,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,n_retrieved@10,recall@10,precision@10,f1@10,n_retrieved@12,recall@12,precision@12,f1@12,n_retrieved@20,recall@20,precision@20,f1@20,n_retrieved@30,recall@30,precision@30,f1@30,n_retrieved@all,recall@all,precision@all,f1@all,r_precision,mrr,ndcg@10,ndcg@all,elapsed_s
full_rerank,81,in_corpus,4,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.25,0.08333333333333333,0.125,12,0.25,0.08333333333333333,0.125,12,0.25,0.08333333333333333,0.125,12,0.25,0.08333333333333333,0.125,0.0,0.09090909090909091,0.0,0.10889376106823218,2.166
full_rerank,82,in_corpus,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.652
full_rerank,83,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496
full_rerank,84,in_corpus,1,5,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
full_rerank,85,unparseable,3,5,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.293
full_rerank,86,in_corpus,3,5,0.3333333333333333,0.2,0.25,10,0.3333333333333333,0.1,0.15384615384615383,11,0.3333333333333333,0.09090909090909091,0.14285714285714288,11,0.3333333333333333,0.09090909090909091,0.14285714285714288,11,0.3333333333333333,0.09090909090909091,0.14285714285714288,11,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.0,0.25,0.20210734650054757,0.20210734650054757,0.942
full_rerank,87,in_corpus,1,5,1.0,0.2,0.33333333333333337,9,1.0,0.1111111111111111,0.19999999999999998,9,1.0,0.1111111111111111,0.19999999999999998,9,1.0,0.1111111111111111,0.19999999999999998,9,1.0,0.1111111111111111,0.19999999999999998,9,1.0,0.1111111111111111,0.19999999999999998,0.0,0.5,0.6309297535714575,0.6309297535714575,1.005
full_rerank,88,in_corpus,3,5,0.3333333333333333,0.2,0.25,10,0.3333333333333333,0.1,0.15384615384615383,10,0.3333333333333333,0.1,0.15384615384615383,10,0.3333333333333333,0.1,0.15384615384615383,10,0.3333333333333333,0.1,0.15384615384615383,10,0.3333333333333333,0.1,0.15384615384615383,0.0,0.2,0.18154179253735267,0.18154179253735267,0.957
full_rerank,89,in_corpus,2,5,0.0,0.0,0.0,10,0.5,0.1,0.16666666666666669,11,0.5,0.09090909090909091,0.15384615384615385,11,0.5,0.09090909090909091,0.15384615384615385,11,0.5,0.09090909090909091,0.15384615384615385,11,0.5,0.09090909090909091,0.15384615384615385,0.0,0.14285714285714285,0.20438239758848611,0.20438239758848611,0.607
full_rerank,9,in_corpus,4,5,0.5,0.4,0.4444444444444445,10,0.75,0.3,0.4285714285714285,10,0.75,0.3,0.4285714285714285,10,0.75,0.3,0.4285714285714285,10,0.75,0.3,0.4285714285714285,10,0.75,0.3,0.4285714285714285,0.5,1.0,0.6975637657739948,0.6975637657739948,0.719
full_rerank,90,in_corpus,3,5,0.3333333333333333,0.2,0.25,8,0.3333333333333333,0.125,0.18181818181818182,8,0.3333333333333333,0.125,0.18181818181818182,8,0.3333333333333333,0.125,0.18181818181818182,8,0.3333333333333333,0.125,0.18181818181818182,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,0.46927872602275644,0.46927872602275644,0.536
full_rerank,91,in_corpus,2,5,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664
full_rerank,92,in_corpus,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033
full_rerank,93,in_corpus,2,5,0.5,0.2,0.28571428571428575,7,0.5,0.14285714285714285,0.22222222222222224,7,0.5,0.14285714285714285,0.22222222222222224,7,0.5,0.14285714285714285,0.22222222222222224,7,0.5,0.14285714285714285,0.22222222222222224,7,0.5,0.14285714285714285,0.22222222222222224,0.5,1.0,0.6131471927654584,0.6131471927654584,0.786
full_rerank,94,mixed,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05
full_rerank,95,in_corpus,3,5,0.6666666666666666,0.4,0.5,7,1.0,0.42857142857142855,0.6,7,1.0,0.42857142857142855,0.6,7,1.0,0.42857142857142855,0.6,7,1.0,0.42857142857142855,0.6,7,1.0,0.42857142857142855,0.6,0.6666666666666666,1.0,0.9217868789962071,0.9217868789962071,0.712
full_rerank,97,in_corpus,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492
full_rerank,98,unparseable,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036
full_rerank,99,in_corpus,2,5,1.0,0.4,0.5714285714285715,8,1.0,0.25,0.4,8,1.0,0.25,0.4,8,1.0,0.25,0.4,8,1.0,0.25,0.4,8,1.0,0.25,0.4,0.5,1.0,0.8503449055347546,0.8503449055347546,1.263
